subject,slice,label,energy,entropy,contrast,homogeneity,correlation,area,centroid_r,centroid_c,perimeter,circularity
T1CE_to_SRI_defaced,75,Enhancing,0.910225,1.235885,8.621522,0.925208,0.827902,4667.0,117.23,130.98,1062.7027,0.051931
T1CE_to_SRI_defaced,76,Enhancing,0.907723,1.283329,10.388819,0.922702,0.826386,4789.0,114.85,132.19,1110.5372,0.048796
T1CE_to_SRI_defaced,77,Enhancing,0.910534,1.250226,10.396976,0.924848,0.825447,4644.0,118.1,130.88,1071.1169,0.050866
T1CE_to_SRI_defaced,78,Enhancing,0.908278,1.2836,11.302194,0.923051,0.825304,4780.0,117.36,130.46,1058.2885,0.053633
T1CE_to_SRI_defaced,79,Enhancing,0.90736,1.295796,11.255529,0.9221,0.820489,4821.0,118.38,130.6,1085.5017,0.051415
T1_to_SRI_defaced,75,Necrotic,0.700602,3.576284,30.581261,0.788335,0.914704,16481.0,118.21,132.57,1503.3027,0.091643
T1_to_SRI_defaced,76,Necrotic,0.711919,3.470627,29.936255,0.793694,0.909244,15835.0,118.67,133.5,1487.7525,0.089901
T1_to_SRI_defaced,77,Necrotic,0.699714,3.576395,27.794783,0.787798,0.917039,16585.0,119.21,132.29,1386.5332,0.108409
T1_to_SRI_defaced,78,Necrotic,0.714685,3.41224,28.883035,0.796669,0.901794,15623.0,119.27,130.86,1633.6053,0.073566
T1_to_SRI_defaced,79,Necrotic,0.696741,3.614753,30.375603,0.784234,0.912709,16738.0,117.88,131.01,1432.7464,0.102465
FL_to_SRI_defaced,75,Edema,0.873337,1.710579,22.285343,0.895292,0.7583,6586.0,116.05,125.07,1503.9058,0.036592
FL_to_SRI_defaced,76,Edema,0.84437,2.031463,24.240175,0.876633,0.798088,8168.0,116.78,122.78,1671.5515,0.036736
FL_to_SRI_defaced,77,Edema,0.847075,1.997928,23.163457,0.878159,0.789574,8016.0,116.91,122.0,1656.9241,0.036691
FL_to_SRI_defaced,78,Edema,0.853926,1.919081,21.476304,0.881775,0.774586,7629.0,117.98,122.77,1652.9951,0.035086
FL_to_SRI_defaced,79,Edema,0.864777,1.79048,19.180418,0.889937,0.763326,7051.0,119.7,123.23,1559.9768,0.03641
T2_to_SRI_defaced,75,Other,0.772724,2.761676,19.942184,0.834712,0.871828,12167.0,116.3,134.66,1922.6124,0.041363
T2_to_SRI_defaced,76,Other,0.780394,2.686625,19.910185,0.838553,0.869514,11738.0,118.3,132.29,1918.1627,0.04009
T2_to_SRI_defaced,77,Other,0.776408,2.71734,19.684097,0.838019,0.868349,11942.0,118.81,132.82,1960.2277,0.039055
T2_to_SRI_defaced,78,Other,0.791549,2.533574,18.257566,0.848181,0.84679,11057.0,119.73,127.77,2015.2399,0.034213
T2_to_SRI_defaced,79,Other,0.764065,2.823058,19.314281,0.832436,0.868016,12655.0,119.62,128.24,1990.8256,0.040124
T1CE_to_SRI_defaced,75,Enhancing,0.902618,1.375721,16.848926,0.918318,0.83313,5287.0,120.63,125.55,1153.7626,0.04991
T1CE_to_SRI_defaced,76,Enhancing,0.913434,1.234175,16.063057,0.926101,0.818051,4673.0,117.81,129.33,1120.2712,0.046791
T1CE_to_SRI_defaced,77,Enhancing,0.91365,1.239517,17.475207,0.926008,0.813429,4666.0,117.91,129.66,1111.4428,0.047466
T1CE_to_SRI_defaced,78,Enhancing,0.909146,1.287812,18.175647,0.922768,0.809816,4894.0,120.37,129.37,1169.7271,0.044947
T1CE_to_SRI_defaced,79,Enhancing,0.916219,1.200289,17.247542,0.928063,0.804537,4512.0,118.02,131.59,1109.5849,0.046053
T1_to_SRI_defaced,75,Necrotic,0.898281,1.369776,14.918256,0.9171,0.803866,5544.0,119.82,126.65,1176.7626,0.05031
T1_to_SRI_defaced,76,Necrotic,0.894921,1.418707,17.349377,0.915154,0.80211,5742.0,120.67,125.99,1166.7626,0.053004
T1_to_SRI_defaced,77,Necrotic,0.897408,1.379137,16.628493,0.917372,0.788859,5582.0,120.56,127.6,1170.7565,0.051176
T1_to_SRI_defaced,78,Necrotic,0.896099,1.400551,16.8924,0.916282,0.784113,5659.0,120.51,127.19,1166.4844,0.052263
T1_to_SRI_defaced,79,Necrotic,0.898769,1.371758,16.818246,0.917714,0.776961,5510.0,118.65,127.93,1132.7149,0.053966
FL_to_SRI_defaced,75,Edema,0.819751,2.389425,28.411907,0.854638,0.819515,9855.0,118.75,128.98,1531.2672,0.052816
FL_to_SRI_defaced,76,Edema,0.826253,2.299635,27.744451,0.858981,0.80303,9431.0,118.02,129.43,1657.4215,0.043142
FL_to_SRI_defaced,77,Edema,0.818259,2.413802,30.313069,0.853063,0.823474,9880.0,117.99,131.69,1666.1434,0.044724
FL_to_SRI_defaced,78,Edema,0.822577,2.351986,27.88811,0.857763,0.833255,9652.0,116.23,130.5,1596.587,0.047582
FL_to_SRI_defaced,79,Edema,0.881349,1.643999,21.088001,0.901303,0.778914,6473.0,118.85,122.77,1187.2123,0.057711
T2_to_SRI_defaced,75,Other,0.805205,2.463103,18.87827,0.862611,0.9072,10617.0,116.04,143.34,1313.9768,0.077275
T2_to_SRI_defaced,76,Other,0.826694,2.203938,17.903653,0.875391,0.90084,9349.0,121.09,144.46,1337.3789,0.065685
T2_to_SRI_defaced,77,Other,0.788453,2.62814,19.124115,0.850705,0.909598,11559.0,121.2,141.53,1326.1423,0.082594
T2_to_SRI_defaced,78,Other,0.804184,2.421961,15.23546,0.861275,0.92059,10635.0,116.49,144.02,1364.5038,0.071779
T2_to_SRI_defaced,79,Other,0.808788,2.369714,16.608101,0.865241,0.902793,10341.0,115.66,142.04,1412.5626,0.065126
T1CE_to_SRI_defaced,75,Enhancing,0.927213,0.981916,7.671444,0.940769,0.789914,3788.0,118.3,124.82,1170.8986,0.03472
T1CE_to_SRI_defaced,76,Enhancing,0.923135,1.036604,8.217996,0.93884,0.792868,4047.0,117.75,121.13,1105.7149,0.041596
T1CE_to_SRI_defaced,77,Enhancing,0.92648,1.000983,8.282529,0.940104,0.792262,3853.0,116.36,123.73,1100.4012,0.039986
T1CE_to_SRI_defaced,78,Enhancing,0.94052,0.825264,7.074765,0.949551,0.78536,3049.0,112.78,138.61,982.2407,0.039713
T1CE_to_SRI_defaced,79,Enhancing,0.943211,0.78688,6.714259,0.951681,0.779332,2879.0,117.57,143.54,986.1636,0.037201
T1_to_SRI_defaced,75,Necrotic,0.928165,0.985601,12.006673,0.940028,0.7599,3723.0,114.92,128.64,1207.4783,0.032088
T1_to_SRI_defaced,76,Necrotic,0.931868,0.94475,11.58482,0.942924,0.760365,3520.0,114.46,128.1,1151.6144,0.033353
T1_to_SRI_defaced,77,Necrotic,0.941231,0.832631,11.089413,0.94946,0.75812,2990.0,109.64,126.74,1111.7737,0.030398
T1_to_SRI_defaced,78,Necrotic,0.940586,0.836513,11.107223,0.950312,0.755612,3053.0,109.6,138.95,943.1636,0.043128
T1_to_SRI_defaced,79,Necrotic,0.926595,0.999854,10.830171,0.940368,0.761773,3815.0,117.52,125.89,1097.5311,0.039799
